date,survey,suvrey_ID,method,depth,soak time (hours),Time_Day,reef aspect ,habitat,family,genus,species,number,time in,time out,treatment,camera
5/22/2023,MR_23,May_23-MR-D3-DAWN-T2-Red,ROV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.274305556,0.279166667,Red,NA
5/22/2023,MR_23,May_23-MR-D3-DAWN-T2-White,ROV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.290277778,0.295138889,White,NA
5/22/2023,MR_23,May_23-MR-D3-DUSK-T2-Red,ROV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.74375,0.747916667,Red,NA
5/22/2023,MR_23,May_23-MR-D3-DUSK-T2-White,ROV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.755555556,0.760416667,White,NA
5/22/2023,MR_23,May_23-MR-D3-PM-T2-Nat,DOV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.668055556,0.673611111,Nat,NA
5/22/2023,MR_23,May_23-MR-D3-PM-T2-Nat,ROV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.654166667,0.657638889,Nat,NA
5/23/2023,MR_23,May_23-MR-D3-NOC1-T2-Red,ROV,18,,NOC1,moderate_slope,inner_reef,NA,NA,NA,0,0,0.009027778,Red,NA
5/23/2023,MR_23,May_23-MR-D3-NOC1-T2-White,ROV,18,,NOC1,moderate_slope,inner_reef,NA,NA,NA,0,0.016666667,0.022222222,White,NA
5/23/2023,MR_23,May_23-MR-D3-NOC2-T2-Red,ROV,18,,NOC2,moderate_slope,inner_reef,NA,NA,NA,0,0.184027778,0.189583333,Red,NA
5/23/2023,MR_23,May_23-MR-D3-NOC2-T2-White,ROV,18,,NOC2,moderate_slope,inner_reef,NA,NA,NA,0,0.198611111,0.205555556,White,NA
5/23/2023,MR_23,May_23-MR-D4-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.284027778,0.290972222,Nat,NA
5/23/2023,MR_23,May_23-MR-D4-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.265277778,0.269444444,Red,NA
5/23/2023,MR_23,May_23-MR-D4-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.275694444,0.281944444,White,NA
