date,survey,suvrey_ID,method,depth,soak time (hours),Time_Day,reef aspect ,habitat,family,genus,species,number,time in,time out
5/23/2023,MR_23,May_23-MR-D4-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon, Carcharhinidae ,Carcharhinus,Carcharhinus spp.,1,0.640972222,0.647916667
5/23/2023,MR_23,May_23-MR-D4-DAWN-T2-Nat,DOV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.29375,0.299305556
5/23/2023,MR_23,May_23-MR-D4-DAWN-T2-Red,ROV,18,,DAWN,moderate_slope,inner_reef,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,1,0.298611111,0.307638889
5/23/2023,MR_23,May_23-MR-D4-DUSK-T2-Nat,DOV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.740277778,0.745833333
5/23/2023,MR_23,May_23-MR-D4-DUSK-T2-Red,ROV,18,,DUSK,moderate_slope,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.720833333,0.725694444
5/23/2023,MR_23,May_23-MR-D4-DUSK-T2-White,ROV,18,,DUSK,moderate_slope,inner_reef,Carcharhinidae,Negaprion,Negaprion acutidens,1,0.733333333,0.738194444
5/23/2023,MR_23,May_23-MR-D4-PM-T2-Nat,DOV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.668055556,0.674305556
5/23/2023,MR_23,May_23-MR-D4-PM-T2-Nat,ROV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.656944444,0.659027778
5/24/2023,MR_23,May_23-MR-D5-DAWN-T2-Nat,DOV,18,,DAWN,moderate_slope,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.277777778,0.283333333
5/24/2023,MR_23,May_23-MR-D5-DAWN-T2-Red,ROV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.256944444,0.2625
5/24/2023,MR_23,May_23-MR-D5-DAWN-T2-White,ROV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.269444444,0.275
5/24/2023,MR_23,May_23-MR-D5-DUSK-T2-Nat,DOV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.747222222,0.755555556
5/24/2023,MR_23,May_23-MR-D5-DUSK-T2-Red,ROV,18,,DUSK,moderate_slope,inner_reef,Carcharhinidae,Negaprion,Negaprion acutidens,1,0.724305556,0.729166667
5/24/2023,MR_23,May_23-MR-D5-DUSK-T2-White,ROV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.740277778,0.747222222
5/24/2023,MR_23,May_23-MR-D5-PM-T2-Nat,DIVE,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.661805556,0.66875
5/24/2023,MR_23,May_23-MR-D5-PM-T2-Nat,ROV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.654861111,0.661111111
5/24/2023,MR_23,May_23-MR-D5-DAWN-T3-Nat,DOV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.302083333,0.307638889
5/24/2023,MR_23,May_23-MR-D5-DAWN-T3-Red,ROV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.2875,0.298611111
5/24/2023,MR_23,May_23-MR-D5-DUSK-T3-Red,ROV,8,,DUSK, reef flat,lagoon,NA,NA,NA,0,0.758333333,0.766666667
5/24/2023,MR_23,May_23-MR-D5-PM-T3-Nat,DOV,8,,PM, reef flat,lagoon,NA,NA,NA,0,0.685416667,0.691666667
5/24/2023,MR_23,May_23-MR-D5-PM-T3-Nat,ROV,8,,PM, reef flat,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.670138889,0.677083333
5/25/2023,MR_23,May_23-MR-D6-DUSK-T2-Nat,DOV,18,,DUSK,moderate_slope,inner_reef,NA,NA,NA,0,0.727777778,0.731944444
5/25/2023,MR_23,May_23-MR-D6-DUSK-T2-Red,ROV,18,,DUSK,moderate_slope,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.709027778,0.7125
5/25/2023,MR_23,May_23-MR-D6-DUSK-T2-White,ROV,18,,DUSK,moderate_slope,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.718055556,0.723611111
5/25/2023,MR_23,May_23-MR-D6-PM-T2-Nat,DOV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.658333333,0.6625
5/25/2023,MR_23,May_23-MR-D6-PM-T2-Nat,ROV,18,,PM,moderate_slope,inner_reef,NA,NA,NA,0,0.650694444,0.654861111
5/25/2023,MR_23,May_23-MR-D6-DUSK-T3-Nat,DOV,8,,DUSK, reef flat,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,0,0.743055556,0.746527778
5/25/2023,MR_23,May_23-MR-D6-DUSK-T3-Red,ROV,8,,DUSK, reef flat,lagoon,NA,NA,NA,0,0.729166667,0.740972222
5/25/2023,MR_23,May_23-MR-D6-PM-T3-Nat,DOV,8,,PM, reef flat,lagoon,NA,NA,NA,0,0.673611111,0.679166667
5/25/2023,MR_23,May_23-MR-D6-PM-T3-Nat,ROV,8,,PM, reef flat,lagoon,NA,NA,NA,0,0.661805556,0.665972222
5/26/2023,MR_23,May_23-MR-D7-DAWN-T2-Nat,DOV,18,,DAWN,moderate_slope,inner_reef,NA,NA,NA,0,0.290972222,0.297222222
5/26/2023,MR_23,May_23-MR-D7-DAWN-T2-Red,ROV,18,,DAWN,moderate_slope,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.283333333,0.289583333
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-Nat,DOV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.256944444,0.261805556
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-Red,ROV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.268055556,0.273611111
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-White,ROV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.275694444,0.280555556
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-Nat,DOV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.744444444,0.749305556
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-Red,ROV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.733333333,0.7375
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-White,ROV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.718055556,0.723611111
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-Nat,DOV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.2875,0.297222222
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-Red,ROV,20,,DAWN,reef wall,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.263888889,0.272916667
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-White,ROV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.276388889,0.28125
5/27/2023,MR_23,May_23-MR-D8-DUSK-T4-Nat,DOV,20,,DUSK,reef wall,inner_reef,NA,NA,NA,0,0.7375,0.749305556
5/27/2023,MR_23,May_23-MR-D8-DUSK-T4-Red,ROV,20,,DUSK,reef wall,inner_reef,NA,NA,NA,0,0.729166667,0.734027778
5/28/2023,MR_23,May_23-MR-D9-DAWN-T4-Nat,DOV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.284722222,0.291666667
5/28/2023,MR_23,May_23-MR-D9-DAWN-T4-Red,ROV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.269444444,0.275694444
